S? l??ng hóa ??n,S? khách,Doanh s?,Doanh thu,Gi?m giá món,Gi?m giá hóa ??n,Gi?m giá thành viên,VAT,Ph? phí,Mã c?a hàng,Tên c?a hàng,Ngày
30,204,36796300,34595575,1099000,213700,888025,142005,0,5,ICool Tô Ký,05/12/2017
49,282,51831500,49728480,250200,499300,1353520,0,50000,6,ICool Bình Phú,05/12/2017
53,337,64305800,62022220,1172000,310200,801380,0,0,7,ICool D??ng Bá Tr?c,05/12/2017
1,8,349900,349900,0,0,0,0,0,9,ICool Nguy?n S?n,05/12/2017
86,201,98248900,93677230,1536700,948500,2086470,499826.25,600000,1,ICool Ung V?n Khiêm,06/12/2017
15,64,8849600,8371530,338400,0,139670,0,0,10,ICOOL Thành Thái,06/12/2017
11,43,7368000,7096000,0,272000,0,0,0,11,ICool Nguy?n Trãi,06/12/2017
8,43,6681000,5642800,1038200,0,0,0,0,12,ICool M?c ?inh Chi,06/12/2017
5,33,3924200,3812400,0,0,111800,0,0,13,ICOOL Tr?n Bình Tr?ng,06/12/2017
16,70,15208400,14352890,346000,489060,20450,205750,0,14,ICOOL Cách M?ng Tháng 8,06/12/2017
11,63,9199400,8914440,116000,168960,0,0,0,16,ICOOL D? Nam,06/12/2017
12,48,6796000,6704930,0,91070,0,0,0,17,ICool Hàn Châu,06/12/2017
17,105,17260700,16663430,0,380720,216550,0,0,2,AAPPLE Hoàng Vi?t,06/12/2017
54,320,50760400,48161065,795200,969530,834605,0,0,4,ICool Xô Vi?t Ngh? T?nh,06/12/2017
25,139,29013800,26850685,906600,67700,1188815,0,0,5,ICool Tô Ký,06/12/2017
55,348,66555700,63512945,939800,682600,1420355,80189.5,50000,6,ICool Bình Phú,06/12/2017
52,369,70217000,64138060,3092000,2104100,882840,0,0,7,ICool D??ng Bá Tr?c,06/12/2017
1,7,634400,570960,0,63440,0,0,0,9,ICool Nguy?n S?n,06/12/2017
72,336,86271600,82132205,297000,996630,2845765,247293.25,0,1,ICool Ung V?n Khiêm,07/12/2017
27,124,13238600,12890670,98000,0,249930,0,0,10,ICOOL Thành Thái,07/12/2017
15,79,12210400,11837645,136000,153560,83195,0,0,11,ICool Nguy?n Trãi,07/12/2017
3,17,1681400,1399200,282200,0,0,0,0,12,ICool M?c ?inh Chi,07/12/2017
11,64,8368900,7567235,58000,594630,149035,0,0,13,ICOOL Tr?n Bình Tr?ng,07/12/2017
20,95,14153800,13635965,0,362085,155750,0,0,14,ICOOL Cách M?ng Tháng 8,07/12/2017
11,52,5761400,5626290,0,99040,36070,0,0,16,ICOOL D? Nam,07/12/2017
18,78,11306300,11306300,0,0,0,0,0,17,ICool Hàn Châu,07/12/2017
20,104,16559400,15794640,408000,0,356760,0,0,2,AAPPLE Hoàng Vi?t,07/12/2017
67,314,57762900,55270945,676400,765760,1049795,0,0,4,ICool Xô Vi?t Ngh? T?nh,07/12/2017
39,225,41662000,39183675,1229000,260050,989275,0,500000,5,ICool Tô Ký,07/12/2017
57,347,60130900,57433900,654600,105400,1937000,234495,0,6,ICool Bình Phú,07/12/2017
60,428,82025100,76687470,1881800,2484250,971580,110770,0,7,ICool D??ng Bá Tr?c,07/12/2017
5,34,5814000,5358610,0,455390,0,0,0,9,ICool Nguy?n S?n,07/12/2017
96,342,133772875,120613010,7135000,1825740,4199125,80361,0,1,ICool Ung V?n Khiêm,08/12/2017
24,142,22327500,22033580,0,143600,150320,105877.5,0,10,ICOOL Thành Thái,08/12/2017
16,50,9253000,8777510,283000,87220,105270,0,0,11,ICool Nguy?n Trãi,08/12/2017
8,62,9792400,7596740,1982400,213260,0,0,150000,12,ICool M?c ?inh Chi,08/12/2017
17,88,14846800,14403125,349700,0,93975,0,0,13,ICOOL Tr?n Bình Tr?ng,08/12/2017
30,177,35762800,33547790,503000,1558070,153940,111930,0,14,ICOOL Cách M?ng Tháng 8,08/12/2017
23,119,16531800,15114760,872200,343880,200960,0,0,16,ICOOL D? Nam,08/12/2017
9,40,7635000,7562220,0,0,72780,0,0,17,ICool Hàn Châu,08/12/2017
11,53,10835800,10245385,381000,0,209415,0,0,2,AAPPLE Hoàng Vi?t,08/12/2017
75,463,87143200,83575950,655000,790200,2122050,125430,0,4,ICool Xô Vi?t Ngh? T?nh,08/12/2017
46,303,59826400,55836450,2006000,145360,1838590,0,0,5,ICool Tô Ký,08/12/2017
66,416,94291600,88087545,2304700,870970,3028385,407379,400000,6,ICool Bình Phú,08/12/2017
46,284,69394100,64878690,2709000,388660,1417750,0,0,7,ICool D??ng Bá Tr?c,08/12/2017
1,3,926600,926600,0,0,0,0,0,9,ICool Nguy?n S?n,08/12/2017
116,420,170132000,156047120,4374700,4762170,4948010,318987.5,0,1,ICool Ung V?n Khiêm,09/12/2017
34,152,29104300,28417685,201000,175000,310615,49650,0,10,ICOOL Thành Thái,09/12/2017
14,59,8099200,7638590,305800,0,154810,0,0,11,ICool Nguy?n Trãi,09/12/2017
10,53,9095600,7311800,1783800,0,0,0,100000,12,ICool M?c ?inh Chi,09/12/2017
16,96,15221800,14434900,113000,522730,151170,0,0,13,ICOOL Tr?n Bình Tr?ng,09/12/2017
31,157,28592600,27219725,404000,968875,0,0,0,14,ICOOL Cách M?ng Tháng 8,09/12/2017
25,151,22848200,20811880,1132000,835120,69200,0,0,16,ICOOL D? Nam,09/12/2017
24,109,14656900,14290240,80540,286120,0,0,0,17,ICool Hàn Châu,09/12/2017
23,121,17813000,17364755,237000,0,211245,0,0,2,AAPPLE Hoàng Vi?t,09/12/2017
92,564,129144600,122580115,1422000,1116060,4026425,106222.5,0,4,ICool Xô Vi?t Ngh? T?nh,09/12/2017
55,398,74732700,70028180,2636000,185050,1883470,507786.5,890000,5,ICool Tô Ký,09/12/2017
77,473,98511300,93174980,1706200,935560,2694560,137583.75,100000,6,ICool Bình Phú,09/12/2017
64,429,78935100,75178065,2120700,494650,1141685,161783.75,0,7,ICool D??ng Bá Tr?c,09/12/2017
17,82,16719300,15785620,0,933680,0,0,0,9,ICool Nguy?n S?n,09/12/2017
92,433,139641000,133167355,3224000,87140,3162505,424064.25,0,1,ICool Ung V?n Khiêm,10/12/2017
24,125,25162100,23361415,263000,1399300,138385,0,0,10,ICOOL Thành Thái,10/12/2017
25,101,14783400,14033670,351000,96700,302030,0,0,11,ICool Nguy?n Trãi,10/12/2017
4,25,3306200,2584600,721600,0,0,0,0,12,ICool M?c ?inh Chi,10/12/2017
11,61,10920800,10446620,113000,254785,106395,0,0,13,ICOOL Tr?n Bình Tr?ng,10/12/2017
23,106,18374700,17085345,424000,757505,107850,0,0,14,ICOOL Cách M?ng Tháng 8,10/12/2017
14,80,13030700,12487515,322000,52810,168375,0,0,16,ICOOL D? Nam,10/12/2017
27,129,19831600,18706425,1056000,43860,25315,0,0,17,ICool Hàn Châu,10/12/2017
21,100,15918300,15318945,444000,85615,69740,0,0,2,AAPPLE Hoàng Vi?t,10/12/2017
87,533,123818100,117708030,2028700,657005,3424365,0,0,4,ICool Xô Vi?t Ngh? T?nh,10/12/2017
74,525,88247300,84291090,2057000,447870,1451340,0,0,5,ICool Tô Ký,10/12/2017
76,416,107823500,100295935,3963900,209560,3354105,186200,400000,6,ICool Bình Phú,10/12/2017
54,323,62572200,60276110,1655000,144000,497090,0,0,7,ICool D??ng Bá Tr?c,10/12/2017
7,47,9638700,9275120,0,296330,67250,0,0,9,ICool Nguy?n S?n,10/12/2017
76,352,111836000,101713410,1508000,3532350,5082240,252405,0,1,ICool Ung V?n Khiêm,11/12/2017
8,46,4128400,3882590,226800,0,19010,0,0,10,ICOOL Thành Thái,11/12/2017
6,14,1562000,1453350,90800,0,17850,0,0,11,ICool Nguy?n Trãi,11/12/2017
1,4,676600,472300,204300,0,0,0,0,12,ICool M?c ?inh Chi,11/12/2017
5,31,2918800,2918800,0,0,0,0,0,13,ICOOL Tr?n Bình Tr?ng,11/12/2017
23,104,15042000,12089830,457500,2466670,28000,0,0,14,ICOOL Cách M?ng Tháng 8,11/12/2017
11,49,6462400,5991270,260800,185980,24350,0,0,16,ICOOL D? Nam,11/12/2017
18,82,9288400,9201075,0,37300,50025,0,0,17,ICool Hàn Châu,11/12/2017
18,74,11679200,11310020,148000,35410,185770,0,0,2,AAPPLE Hoàng Vi?t,11/12/2017
33,177,34139800,32869640,56400,592670,621090,172215,0,4,ICool Xô Vi?t Ngh? T?nh,11/12/2017
21,114,19723600,18838150,466000,0,419450,0,1500000,5,ICool Tô Ký,11/12/2017
50,258,48558300,44829270,2159200,190700,1379130,89822.5,0,6,ICool Bình Phú,11/12/2017
44,274,59943800,56967255,1470000,0,1506545,256945,0,7,ICool D??ng Bá Tr?c,11/12/2017
1,6,1092200,1037590,0,0,54610,0,0,9,ICool Nguy?n S?n,11/12/2017
74,329,94816000,88007915,2017000,1849750,2941335,648519.25,0,1,ICool Ung V?n Khiêm,12/12/2017
20,75,11639500,11481950,98000,0,59550,0,0,10,ICOOL Thành Thái,12/12/2017
14,72,10180200,9756760,371000,27800,24640,0,0,11,ICool Nguy?n Trãi,12/12/2017
7,46,8914800,7137200,1534900,0,242700,0,0,12,ICool M?c ?inh Chi,12/12/2017
13,75,11813200,11315275,0,422430,75495,0,0,13,ICOOL Tr?n Bình Tr?ng,12/12/2017
12,50,6549000,6292022.5,145000,85280,26697.5,0,0,14,ICOOL Cách M?ng Tháng 8,12/12/2017
13,69,7950600,7728400,0,173120,49080,0,0,16,ICOOL D? Nam,12/12/2017
15,73,10950300,10739570,0,210730,0,0,0,17,ICool Hàn Châu,12/12/2017
24,105,18888300,17927450,535000,71740,354110,0,0,2,AAPPLE Hoàng Vi?t,12/12/2017
53,345,54703700,52895350,446800,355020,1006530,0,0,4,ICool Xô Vi?t Ngh? T?nh,12/12/2017
23,170,26695300,25271905,604000,0,819395,0,0,5,ICool Tô Ký,12/12/2017
60,337,61568400,58319545,1485700,617450,1145705,0,200000,6,ICool Bình Phú,12/12/2017
45,269,57969500,54718620,1303000,540450,1407430,0,0,7,ICool D??ng Bá Tr?c,12/12/2017
2,5,1230600,1201470,0,29130,0,0,0,9,ICool Nguy?n S?n,12/12/2017
76,309,95310900,89150430,2540000,1021760,2598710,0,0,1,ICool Ung V?n Khiêm,13/12/2017
17,88,11542700,10852240,304000,71900,314560,0,0,10,ICOOL Thành Thái,13/12/2017
12,58,9436300,8617135,282000,172000,365165,0,0,11,ICool Nguy?n Trãi,13/12/2017
2,15,2872600,2239300,633300,0,0,0,0,12,ICool M?c ?inh Chi,13/12/2017
11,62,9513500,8727655,521000,81600,183245,0,0,13,ICOOL Tr?n Bình Tr?ng,13/12/2017
19,91,13471800,12232800,513300,612300,113400,0,0,14,ICOOL Cách M?ng Tháng 8,13/12/2017
12,55,7287800,6754660,290000,199940,43200,0,0,16,ICOOL D? Nam,13/12/2017
14,47,5736600,5282200,430000,24400,0,0,0,17,ICool Hàn Châu,13/12/2017
15,76,11031300,10741860,0,77450,211990,0,0,2,AAPPLE Hoàng Vi?t,13/12/2017
60,318,70230300,67732660,472800,807980,1216860,90090,0,4,ICool Xô Vi?t Ngh? T?nh,13/12/2017
28,129,23477900,21949905,883800,95460,548735,62595,0,5,ICool Tô Ký,13/12/2017
58,341,57565500,55184110,398700,1099600,883090,0,0,6,ICool Bình Phú,13/12/2017
48,348,69848100,66590135,1428600,155800,1673565,218537.5,0,7,ICool D??ng Bá Tr?c,13/12/2017
2,12,3431700,3088530,0,136470,206700,0,0,9,ICool Nguy?n S?n,13/12/2017
82,364,112221600,104993765,2130000,1462080,3635755,145485,0,1,ICool Ung V?n Khiêm,14/12/2017
15,87,14154800,14000550,87000,0,67250,0,0,10,ICOOL Thành Thái,14/12/2017
8,36,5685300,4993020,234000,350840,107440,0,0,11,ICool Nguy?n Trãi,14/12/2017
7,48,11863400,10582100,1281300,0,0,0,0,12,ICool M?c ?inh Chi,14/12/2017
11,46,8364500,8077000,128000,137100,22400,0,0,13,ICOOL Tr?n Bình Tr?ng,14/12/2017
17,68,11315300,11126135,0,189165,0,0,0,14,ICOOL Cách M?ng Tháng 8,14/12/2017
12,38,5180800,4671890,412800,0,96110,38830,0,16,ICOOL D? Nam,14/12/2017
16,68,9292100,9292100,0,0,0,0,200000,17,ICool Hàn Châu,14/12/2017
18,76,13231300,12073605,738000,0,419695,0,0,2,AAPPLE Hoàng Vi?t,14/12/2017
64,325,67049600,64501745,490400,35985,2021470,266790,0,4,ICool Xô Vi?t Ngh? T?nh,14/12/2017
33,188,30054400,28201230,1177400,0,675770,0,0,5,ICool Tô Ký,14/12/2017
56,319,68463700,62808390,3433200,486340,1735770,84550,0,6,ICool Bình Phú,14/12/2017
52,354,80919000,77263480,1886000,175900,1593620,0,0,7,ICool D??ng Bá Tr?c,14/12/2017
3,18,4495700,4046130,0,449570,0,0,0,9,ICool Nguy?n S?n,14/12/2017
90,255,135233060,125382180,3433700,3764970,2652210,726548,0,1,ICool Ung V?n Khiêm,15/12/2017
34,157,21889600,20831560,356000,458060,243980,0,0,10,ICOOL Thành Thái,15/12/2017
16,68,11056200,10514370,254700,0,287130,0,0,11,ICool Nguy?n Trãi,15/12/2017
7,41,7682800,6141900,1540900,0,0,0,0,12,ICool M?c ?inh Chi,15/12/2017
16,108,14980500,14263280,204000,393240,119980,97000,0,13,ICOOL Tr?n Bình Tr?ng,15/12/2017
25,136,18581500,17991925,476000,87250,26325,129745,0,14,ICOOL Cách M?ng Tháng 8,15/12/2017
15,84,11057800,9876300,625000,472120,84380,0,0,16,ICOOL D? Nam,15/12/2017
14,53,9502500,8912765,341000,207900,40835,0,0,17,ICool Hàn Châu,15/12/2017
24,98,18261700,17502885,417000,98300,243515,0,0,2,AAPPLE Hoàng Vi?t,15/12/2017
74,369,81574300,78010270,1216000,158540,2189490,171130,0,4,ICool Xô Vi?t Ngh? T?nh,15/12/2017
39,238,48129400,45909520,983400,0,1236480,232712,0,5,ICool Tô Ký,15/12/2017
53,309,72867400,68410770,1624000,131100,2701530,0,100000,6,ICool Bình Phú,15/12/2017
58,403,87015900,84067925,1226000,0,1721975,0,0,7,ICool D??ng Bá Tr?c,15/12/2017
4,24,3320600,3124075,136000,0,60525,0,0,9,ICool Nguy?n S?n,15/12/2017
132,407,184880900,172826675,3368300,4320470,4365455,654647.25,0,1,ICool Ung V?n Khiêm,16/12/2017
28,140,25717700,25178975,156000,183500,199225,0,0,10,ICOOL Thành Thái,16/12/2017
14,56,8256600,7909260,209000,0,138340,0,0,11,ICool Nguy?n Trãi,16/12/2017
9,63,8638400,7046200,1592200,0,0,0,0,12,ICool M?c ?inh Chi,16/12/2017
16,83,18432100,17203465,457600,356620,414415,0,0,13,ICOOL Tr?n Bình Tr?ng,16/12/2017
35,186,36800300,35027780,597000,1023620,151900,0,0,14,ICOOL Cách M?ng Tháng 8,16/12/2017
25,153,21324000,20265155,590000,210780,258065,0,0,16,ICOOL D? Nam,16/12/2017
21,95,13337800,12871800,466000,0,0,0,0,17,ICool Hàn Châu,16/12/2017
23,120,19255100,18797965,280000,63700,113435,0,0,2,AAPPLE Hoàng Vi?t,16/12/2017
106,653,143810300,135822220,1395000,342110,6250970,277937.5,0,4,ICool Xô Vi?t Ngh? T?nh,16/12/2017
62,437,77932000,73165685,2407300,320940,2038075,0,3750000,5,ICool Tô Ký,16/12/2017
73,484,111162800,104299215,2904600,682540,3276445,236470,100000,6,ICool Bình Phú,16/12/2017
71,489,113299700,107830925,2467400,453220,2548155,48782.5,0,7,ICool D??ng Bá Tr?c,16/12/2017
4,36,7650100,7199980,0,450120,0,0,0,9,ICool Nguy?n S?n,16/12/2017
109,414,150990900,143332105,3957000,86550,3615245,0,0,1,ICool Ung V?n Khiêm,17/12/2017
24,122,16062400,15781060,0,156840,124500,0,0,10,ICOOL Thành Thái,17/12/2017
19,64,7207200,6989910,164600,0,52690,0,0,11,ICool Nguy?n Trãi,17/12/2017
4,23,6332400,5341200,991200,0,0,0,0,12,ICool M?c ?inh Chi,17/12/2017
16,78,12955900,11440850,242700,1119820,152530,0,0,13,ICOOL Tr?n Bình Tr?ng,17/12/2017
17,69,9032100,8153530,484000,364500,30070,0,0,14,ICOOL Cách M?ng Tháng 8,17/12/2017
22,99,17773300,16642010,725000,273770,132520,0,0,16,ICOOL D? Nam,17/12/2017
27,134,16329900,16276380,0,35770,17750,0,0,17,ICool Hàn Châu,17/12/2017
15,78,12521800,12094680,235000,33865,158255,0,0,2,AAPPLE Hoàng Vi?t,17/12/2017
86,557,98457700,95665795,1441000,230420,1120485,0,0,4,ICool Xô Vi?t Ngh? T?nh,17/12/2017
77,509,94578500,89050710,2905900,906885,1715005,0,0,5,ICool Tô Ký,17/12/2017
71,363,79771600,75434615,1157300,801940,2377745,0,0,6,ICool Bình Phú,17/12/2017
64,380,92413400,88449700,2108000,349000,1506700,243680,0,7,ICool D??ng Bá Tr?c,17/12/2017
7,39,6827700,6648700,0,179000,0,0,0,9,ICool Nguy?n S?n,17/12/2017
73,316,91542500,86018340,1627000,1350220,2546940,31682.5,0,1,ICool Ung V?n Khiêm,18/12/2017
19,75,8303800,7610710,138000,329180,225910,0,0,10,ICOOL Thành Thái,18/12/2017
10,44,5186200,5108200,78000,0,0,0,0,11,ICool Nguy?n Trãi,18/12/2017
9,33,4963000,3598800,1364200,0,0,0,0,12,ICool M?c ?inh Chi,18/12/2017
5,19,2984800,2886650,0,98150,0,0,0,13,ICOOL Tr?n Bình Tr?ng,18/12/2017
12,63,11085200,10675690,341000,68510,0,0,0,14,ICOOL Cách M?ng Tháng 8,18/12/2017
8,36,4400600,4052140,190000,119380,39080,0,0,16,ICOOL D? Nam,18/12/2017
14,55,7769300,7457300,312000,0,0,0,0,17,ICool Hàn Châu,18/12/2017
10,54,7283000,7145320,0,0,137680,0,0,2,AAPPLE Hoàng Vi?t,18/12/2017
48,261,50507700,47960130,1203000,92275,1252295,0,0,4,ICool Xô Vi?t Ngh? T?nh,18/12/2017
27,159,23171300,22197850,348000,268630,356820,0,50000,5,ICool Tô Ký,18/12/2017
37,206,37221400,34660790,1370200,361800,828610,0,50000,6,ICool Bình Phú,18/12/2017
45,275,56742300,54351075,570000,548000,1273225,47215,0,7,ICool D??ng Bá Tr?c,18/12/2017
1,10,2118900,2012955,0,0,105945,0,0,9,ICool Nguy?n S?n,18/12/2017
69,309,89755300,83901355,1455400,1705350,2693195,232600,0,1,ICool Ung V?n Khiêm,19/12/2017
26,131,18462100,17767030,262800,37140,395130,0,0,10,ICOOL Thành Thái,19/12/2017
4,18,2015200,1956480,0,0,58720,0,0,11,ICool Nguy?n Trãi,19/12/2017
5,31,3736400,2563200,1173200,0,0,0,0,12,ICool M?c ?inh Chi,19/12/2017
13,74,7979600,7678660,0,179870,121070,0,0,13,ICOOL Tr?n Bình Tr?ng,19/12/2017
24,125,17801600,16502355,479000,726515,93730,70880,0,14,ICOOL Cách M?ng Tháng 8,19/12/2017
11,45,5277000,4800350,449000,0,27650,0,0,16,ICOOL D? Nam,19/12/2017
9,39,5346200,5346200,0,0,0,0,0,17,ICool Hàn Châu,19/12/2017
20,77,10079300,9325940,438000,0,315360,0,0,2,AAPPLE Hoàng Vi?t,19/12/2017
53,292,55097400,52266905,729000,509095,1592400,50150,0,4,ICool Xô Vi?t Ngh? T?nh,19/12/2017
29,187,35900800,33527920,1423700,134940,814240,92825,0,5,ICool Tô Ký,19/12/2017
70,371,71462200,67788175,1413000,475900,1785125,0,200000,6,ICool Bình Phú,19/12/2017
37,294,51033400,48818260,889000,558050,768090,100250,0,7,ICool D??ng Bá Tr?c,19/12/2017
2,10,2139300,1995950,0,143350,0,0,0,9,ICool Nguy?n S?n,19/12/2017
80,255,114146600,106940280,2275800,850380,4080140,519511,0,1,ICool Ung V?n Khiêm,20/12/2017
19,78,11232400,11111650,104700,0,16050,0,0,10,ICOOL Thành Thái,20/12/2017
7,24,4163200,3997890,116000,0,49310,0,0,11,ICool Nguy?n Trãi,20/12/2017
3,10,951600,623300,328300,0,0,0,0,12,ICool M?c ?inh Chi,20/12/2017
13,90,13199000,12567900,145000,292820,193280,0,0,13,ICOOL Tr?n Bình Tr?ng,20/12/2017
14,72,10230300,9613530,249000,367770,0,26850,0,14,ICOOL Cách M?ng Tháng 8,20/12/2017
16,72,12277800,11813650,377000,0,87150,65430,0,16,ICOOL D? Nam,20/12/2017
12,46,6579800,6290460,196000,93340,0,0,0,17,ICool Hàn Châu,20/12/2017
10,56,5634200,5535470,0,57640,41090,68150,0,2,AAPPLE Hoàng Vi?t,20/12/2017
51,264,58691500,56177725,927000,108720,1478055,262350,110000,4,ICool Xô Vi?t Ngh? T?nh,20/12/2017
39,220,40403900,37462565,1888700,0,1052635,52375,0,5,ICool Tô Ký,20/12/2017
49,305,54816400,50650690,2180800,987270,997640,0,0,6,ICool Bình Phú,20/12/2017
45,250,64096000,55378100,6200800,1607920,909180,0,0,7,ICool D??ng Bá Tr?c,20/12/2017
4,25,5675300,5343640,0,331660,0,0,0,9,ICool Nguy?n S?n,20/12/2017
81,252,91791300,86881445,1177700,761080,2971075,219060,400000,1,ICool Ung V?n Khiêm,21/12/2017
23,116,14895100,14437430,98000,119120,240550,0,0,10,ICOOL Thành Thái,21/12/2017
7,24,2635700,2498900,58000,59500,19300,0,0,11,ICool Nguy?n Trãi,21/12/2017
8,45,7629400,6340200,1289200,0,0,42900,0,12,ICool M?c ?inh Chi,21/12/2017
14,90,12653000,11900640,165800,481820,104740,0,0,13,ICOOL Tr?n Bình Tr?ng,21/12/2017
15,84,13575100,12357160,401000,816940,0,0,0,14,ICOOL Cách M?ng Tháng 8,21/12/2017
10,29,5505400,4839520,617000,0,48880,0,0,16,ICOOL D? Nam,21/12/2017
12,60,7165000,6937330,0,188150,39520,0,0,17,ICool Hàn Châu,21/12/2017
15,72,10361400,9721000,380000,46130,214270,0,0,2,AAPPLE Hoàng Vi?t,21/12/2017
53,219,51586200,49026000,1527400,47950,984850,129212,0,4,ICool Xô Vi?t Ngh? T?nh,21/12/2017
29,202,32395200,29949300,1399400,261350,785150,40588.75,0,5,ICool Tô Ký,21/12/2017
45,289,53912200,50727965,978100,149600,2056535,0,0,6,ICool Bình Phú,21/12/2017
45,265,57104500,53408910,2091300,341750,1262540,326830,0,7,ICool D??ng Bá Tr?c,21/12/2017
2,9,659100,602710,0,56390,0,0,0,9,ICool Nguy?n S?n,21/12/2017
102,331,149860600,143480175,2513000,371440,3495985,1461578.75,0,1,ICool Ung V?n Khiêm,22/12/2017
25,106,15534800,15252850,87000,137440,57510,0,0,10,ICOOL Thành Thái,22/12/2017
13,57,7505000,7122240,268000,96360,18400,0,0,11,ICool Nguy?n Trãi,22/12/2017
2,30,2476800,2084400,392400,0,0,0,0,12,ICool M?c ?inh Chi,22/12/2017
15,104,19057600,18122250,242000,0,693350,0,0,13,ICOOL Tr?n Bình Tr?ng,22/12/2017
33,182,33856500,32100980,439000,1103290,213230,0,0,14,ICOOL Cách M?ng Tháng 8,22/12/2017
14,78,10102200,9508700,439000,61100,93400,0,0,16,ICOOL D? Nam,22/12/2017
9,51,6583300,6583300,0,0,0,0,0,17,ICool Hàn Châu,22/12/2017
21,108,19510200,18787860,441000,0,281340,0,0,2,AAPPLE Hoàng Vi?t,22/12/2017
76,415,101247200,96032665,1607600,1241445,2365490,337819.5,0,4,ICool Xô Vi?t Ngh? T?nh,22/12/2017
43,229,48154800,45355925,1624200,556380,618295,0,0,5,ICool Tô Ký,22/12/2017
63,363,65717500,62096150,1736800,54260,1830290,181535.5,500000,6,ICool Bình Phú,22/12/2017
43,290,63718700,60463995,1532300,134750,1587655,337916.25,0,7,ICool D??ng Bá Tr?c,22/12/2017
7,30,5070500,4717080,0,353420,0,0,0,9,ICool Nguy?n S?n,22/12/2017
125,391,193894800,179957170,3297500,5818100,4822030,1691655.75,0,1,ICool Ung V?n Khiêm,23/12/2017
31,141,20127700,19847660,29000,133680,117360,139930,0,10,ICOOL Thành Thái,23/12/2017
14,68,10754000,10535260,88000,81800,48940,0,740000,11,ICool Nguy?n Trãi,23/12/2017
15,86,15612800,12637400,2975400,0,0,0,0,12,ICool M?c ?inh Chi,23/12/2017
17,119,19635900,18721710,0,468640,445550,0,0,13,ICOOL Tr?n Bình Tr?ng,23/12/2017
25,152,22566200,21281720,370000,751800,162680,0,0,14,ICOOL Cách M?ng Tháng 8,23/12/2017
23,122,20347800,18998795,936000,260105,152900,0,0,16,ICOOL D? Nam,23/12/2017
26,102,13890500,13867660,0,0,22840,0,0,17,ICool Hàn Châu,23/12/2017
22,96,18107900,16923600,571000,307005,306295,0,0,2,AAPPLE Hoàng Vi?t,23/12/2017
104,495,148176900,140820920,2454300,1701140,3200540,356588.25,0,4,ICool Xô Vi?t Ngh? T?nh,23/12/2017
70,435,92630000,87003750,2997400,458120,2170730,0,0,5,ICool Tô Ký,23/12/2017
91,607,112852100,108565080,660200,953670,2673150,185400,0,6,ICool Bình Phú,23/12/2017
61,429,101821000,97457370,350600,940150,3072880,256303.75,0,7,ICool D??ng Bá Tr?c,23/12/2017
20,118,14975000,14042545,0,899685,32770,0,0,9,ICool Nguy?n S?n,23/12/2017
131,347,185274100,175004115,3944900,2890290,3434795,148437.75,0,1,ICool Ung V?n Khiêm,24/12/2017
25,120,11883000,11777500,0,34000,71500,0,0,10,ICOOL Thành Thái,24/12/2017
36,150,21440400,20141540,512700,418460,367700,0,150000,11,ICool Nguy?n Trãi,24/12/2017
11,86,11309400,9184200,2125200,0,0,0,0,12,ICool M?c ?inh Chi,24/12/2017
26,158,24218700,23034025,635000,204630,345045,0,0,13,ICOOL Tr?n Bình Tr?ng,24/12/2017
36,171,29143600,27605025,370000,1113255,55320,0,0,14,ICOOL Cách M?ng Tháng 8,24/12/2017
31,175,24972900,24197580,380400,80290,314630,0,0,16,ICOOL D? Nam,24/12/2017
37,178,24023700,23510395,479000,0,34305,0,0,17,ICool Hàn Châu,24/12/2017
16,88,13073800,12592350,441000,0,40450,0,0,2,AAPPLE Hoàng Vi?t,24/12/2017
105,448,128475800,122704365,2261500,1079310,2430625,150663,0,4,ICool Xô Vi?t Ngh? T?nh,24/12/2017
79,631,110076800,104521335,2918100,613305,2024060,57641.25,0,5,ICool Tô Ký,24/12/2017
109,653,123325600,118492275,1506700,137950,3188675,107777.5,400000,6,ICool Bình Phú,24/12/2017
72,485,113880400,105154980,5807700,703610,2214110,153571.5,0,7,ICool D??ng Bá Tr?c,24/12/2017
24,163,24615700,23708505,0,755165,152030,0,0,9,ICool Nguy?n S?n,24/12/2017
107,232,132301500,123623750,3841800,932750,3903200,111040,0,1,ICool Ung V?n Khiêm,25/12/2017
17,61,8059700,7777630,98000,136000,48070,0,0,10,ICOOL Thành Thái,25/12/2017
7,21,3158200,2962610,107000,0,88590,0,0,11,ICool Nguy?n Trãi,25/12/2017
3,28,4157200,3465600,536600,0,155000,0,0,12,ICool M?c ?inh Chi,25/12/2017
12,68,12146500,11374885,0,724215,47400,0,0,13,ICOOL Tr?n Bình Tr?ng,25/12/2017
17,80,13775500,12937900,479000,358600,0,0,0,14,ICOOL Cách M?ng Tháng 8,25/12/2017
12,58,10473500,9214320,1162000,0,97180,0,0,16,ICOOL D? Nam,25/12/2017
6,22,2827600,2827600,0,0,0,0,0,17,ICool Hàn Châu,25/12/2017
26,101,21100500,19141930,1229000,39575,689995,0,0,2,AAPPLE Hoàng Vi?t,25/12/2017
47,183,52716400,50054805,1035000,614950,1011645,0,0,4,ICool Xô Vi?t Ngh? T?nh,25/12/2017
41,256,46610200,44184705,1610100,88700,726695,0,0,5,ICool Tô Ký,25/12/2017
46,266,59682800,57410810,883000,59150,1329840,142424,150000,6,ICool Bình Phú,25/12/2017
48,303,60112300,54908805,2109000,2069800,1024695,0,0,7,ICool D??ng Bá Tr?c,25/12/2017
